[ 2012-11-11T18:39:42+08:00 ] /php/app/ | INFO: Tag[ app_begin ] --START--
[ 2012-11-11T18:39:42+08:00 ] /php/app/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003241s ]
[ 2012-11-11T18:39:42+08:00 ] /php/app/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003420s ]
[ 2012-11-11T18:39:42+08:00 ] /php/app/ | SQL: SHOW COLUMNS FROM `think_form` [ RunTime:0.092601s ]
[ 2012-11-11T18:39:42+08:00 ] /php/app/ | SQL: SELECT COUNT(*) AS tp_count FROM `think_form` LIMIT 1   [ RunTime:0.049232s ]
[ 2012-11-11T18:39:42+08:00 ] /php/app/ | SQL: SELECT * FROM `think_form` ORDER BY id desc LIMIT 0,5   [ RunTime:0.006862s ]
[ 2012-11-11T18:39:42+08:00 ] /php/app/ | INFO: Tag[ view_template ] --START--
[ 2012-11-11T18:39:42+08:00 ] /php/app/ | INFO: Run LocationTemplate Behavior [ RunTime:0.014986s ]
[ 2012-11-11T18:39:42+08:00 ] /php/app/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.015104s ]
[ 2012-11-11T18:39:42+08:00 ] /php/app/ | INFO: Tag[ view_parse ] --START--
[ 2012-11-11T18:39:42+08:00 ] /php/app/ | INFO: Run ParseTemplate Behavior [ RunTime:0.187951s ]
[ 2012-11-11T18:39:42+08:00 ] /php/app/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.188078s ]
[ 2012-11-11T18:39:42+08:00 ] /php/app/ | INFO: Tag[ view_filter ] --START--
[ 2012-11-11T18:39:42+08:00 ] /php/app/ | INFO: Run ContentReplace Behavior [ RunTime:0.031336s ]
[ 2012-11-11T18:39:42+08:00 ] /php/app/ | INFO: Run TokenBuild Behavior [ RunTime:0.019367s ]
[ 2012-11-11T18:39:42+08:00 ] /php/app/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001592s ]
[ 2012-11-11T18:39:42+08:00 ] /php/app/ | INFO: Run ShowRuntime Behavior [ RunTime:0.015580s ]
[ 2012-11-11T18:39:42+08:00 ] /php/app/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.068292s ]
[ 2012-11-11T18:39:42+08:00 ] /php/app/ | INFO: Tag[ view_end ] --START--
[ 2012-11-11T18:39:42+08:00 ] /php/app/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.015261s ]
[ 2012-11-11T18:39:42+08:00 ] /php/app/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.015391s ]
[ 2012-11-11T18:42:22+08:00 ] /php/app/ | INFO: Tag[ app_begin ] --START--
[ 2012-11-11T18:42:22+08:00 ] /php/app/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001900s ]
[ 2012-11-11T18:42:22+08:00 ] /php/app/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002114s ]
[ 2012-11-11T18:42:22+08:00 ] /php/app/ | SQL: SHOW COLUMNS FROM `think_form` [ RunTime:0.002261s ]
[ 2012-11-11T18:42:22+08:00 ] /php/app/ | SQL: SELECT COUNT(*) AS tp_count FROM `think_form` LIMIT 1   [ RunTime:0.000342s ]
[ 2012-11-11T18:42:22+08:00 ] /php/app/ | SQL: SELECT * FROM `think_form` ORDER BY id desc LIMIT 0,5   [ RunTime:0.000366s ]
[ 2012-11-11T18:42:22+08:00 ] /php/app/ | INFO: Tag[ view_template ] --START--
[ 2012-11-11T18:42:22+08:00 ] /php/app/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001346s ]
[ 2012-11-11T18:42:22+08:00 ] /php/app/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001428s ]
[ 2012-11-11T18:42:22+08:00 ] /php/app/ | INFO: Tag[ view_parse ] --START--
[ 2012-11-11T18:42:22+08:00 ] /php/app/ | INFO: Run ParseTemplate Behavior [ RunTime:0.019548s ]
[ 2012-11-11T18:42:22+08:00 ] /php/app/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.019671s ]
[ 2012-11-11T18:42:22+08:00 ] /php/app/ | INFO: Tag[ view_filter ] --START--
[ 2012-11-11T18:42:22+08:00 ] /php/app/ | INFO: Run ContentReplace Behavior [ RunTime:0.001010s ]
[ 2012-11-11T18:42:22+08:00 ] /php/app/ | INFO: Run TokenBuild Behavior [ RunTime:0.001022s ]
[ 2012-11-11T18:42:22+08:00 ] /php/app/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000731s ]
[ 2012-11-11T18:42:22+08:00 ] /php/app/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001205s ]
[ 2012-11-11T18:42:22+08:00 ] /php/app/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004195s ]
[ 2012-11-11T18:42:22+08:00 ] /php/app/ | INFO: Tag[ view_end ] --START--
[ 2012-11-11T18:42:22+08:00 ] /php/app/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001701s ]
[ 2012-11-11T18:42:22+08:00 ] /php/app/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001844s ]
[ 2012-11-11T18:51:34+08:00 ] /php/app/ | INFO: Tag[ app_begin ] --START--
[ 2012-11-11T18:51:34+08:00 ] /php/app/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001099s ]
[ 2012-11-11T18:51:34+08:00 ] /php/app/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001242s ]
[ 2012-11-11T18:51:34+08:00 ] /php/app/ | SQL: SHOW COLUMNS FROM `think_form` [ RunTime:0.002279s ]
[ 2012-11-11T18:51:34+08:00 ] /php/app/ | SQL: SELECT COUNT(*) AS tp_count FROM `think_form` LIMIT 1   [ RunTime:0.000220s ]
[ 2012-11-11T18:51:34+08:00 ] /php/app/ | SQL: SELECT * FROM `think_form` ORDER BY id desc LIMIT 0,5   [ RunTime:0.000262s ]
[ 2012-11-11T18:51:34+08:00 ] /php/app/ | INFO: Tag[ view_template ] --START--
[ 2012-11-11T18:51:34+08:00 ] /php/app/ | INFO: Run LocationTemplate Behavior [ RunTime:0.002134s ]
[ 2012-11-11T18:51:34+08:00 ] /php/app/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.002277s ]
[ 2012-11-11T18:51:34+08:00 ] /php/app/ | INFO: Tag[ view_parse ] --START--
[ 2012-11-11T18:51:34+08:00 ] /php/app/ | INFO: Run ParseTemplate Behavior [ RunTime:0.017707s ]
[ 2012-11-11T18:51:34+08:00 ] /php/app/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.017830s ]
[ 2012-11-11T18:51:34+08:00 ] /php/app/ | INFO: Tag[ view_filter ] --START--
[ 2012-11-11T18:51:34+08:00 ] /php/app/ | INFO: Run ContentReplace Behavior [ RunTime:0.001078s ]
[ 2012-11-11T18:51:34+08:00 ] /php/app/ | INFO: Run TokenBuild Behavior [ RunTime:0.000990s ]
[ 2012-11-11T18:51:34+08:00 ] /php/app/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000732s ]
[ 2012-11-11T18:51:34+08:00 ] /php/app/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000951s ]
[ 2012-11-11T18:51:34+08:00 ] /php/app/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003964s ]
[ 2012-11-11T18:51:34+08:00 ] /php/app/ | INFO: Tag[ view_end ] --START--
[ 2012-11-11T18:51:34+08:00 ] /php/app/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001009s ]
[ 2012-11-11T18:51:34+08:00 ] /php/app/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001085s ]
[ 2012-11-11T18:52:01+08:00 ] /php/app/ | INFO: Tag[ app_begin ] --START--
[ 2012-11-11T18:52:01+08:00 ] /php/app/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001076s ]
[ 2012-11-11T18:52:01+08:00 ] /php/app/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001204s ]
[ 2012-11-11T18:52:01+08:00 ] /php/app/ | SQL: SHOW COLUMNS FROM `think_form` [ RunTime:0.001778s ]
[ 2012-11-11T18:52:01+08:00 ] /php/app/ | SQL: SELECT COUNT(*) AS tp_count FROM `think_form` LIMIT 1   [ RunTime:0.000196s ]
[ 2012-11-11T18:52:01+08:00 ] /php/app/ | SQL: SELECT * FROM `think_form` ORDER BY id desc LIMIT 0,5   [ RunTime:0.000212s ]
[ 2012-11-11T18:52:01+08:00 ] /php/app/ | INFO: Tag[ view_template ] --START--
[ 2012-11-11T18:52:01+08:00 ] /php/app/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001351s ]
[ 2012-11-11T18:52:01+08:00 ] /php/app/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001435s ]
[ 2012-11-11T18:52:01+08:00 ] /php/app/ | INFO: Tag[ view_parse ] --START--
[ 2012-11-11T18:52:01+08:00 ] /php/app/ | INFO: Run ParseTemplate Behavior [ RunTime:0.017370s ]
[ 2012-11-11T18:52:01+08:00 ] /php/app/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.017478s ]
[ 2012-11-11T18:52:01+08:00 ] /php/app/ | INFO: Tag[ view_filter ] --START--
[ 2012-11-11T18:52:01+08:00 ] /php/app/ | INFO: Run ContentReplace Behavior [ RunTime:0.000943s ]
[ 2012-11-11T18:52:01+08:00 ] /php/app/ | INFO: Run TokenBuild Behavior [ RunTime:0.000999s ]
[ 2012-11-11T18:52:01+08:00 ] /php/app/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000736s ]
[ 2012-11-11T18:52:01+08:00 ] /php/app/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000954s ]
[ 2012-11-11T18:52:01+08:00 ] /php/app/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003844s ]
[ 2012-11-11T18:52:01+08:00 ] /php/app/ | INFO: Tag[ view_end ] --START--
[ 2012-11-11T18:52:01+08:00 ] /php/app/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000946s ]
[ 2012-11-11T18:52:01+08:00 ] /php/app/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001020s ]
[ 2012-11-11T18:53:57+08:00 ] /php/app/ | INFO: Tag[ app_begin ] --START--
[ 2012-11-11T18:53:57+08:00 ] /php/app/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000817s ]
[ 2012-11-11T18:53:57+08:00 ] /php/app/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000989s ]
[ 2012-11-11T18:53:57+08:00 ] /php/app/ | SQL: SHOW COLUMNS FROM `think_form` [ RunTime:0.001974s ]
[ 2012-11-11T18:53:57+08:00 ] /php/app/ | SQL: SELECT * FROM `think_form` ORDER BY id desc LIMIT 5   [ RunTime:0.000310s ]
[ 2012-11-11T18:53:57+08:00 ] /php/app/ | INFO: Tag[ view_template ] --START--
[ 2012-11-11T18:53:57+08:00 ] /php/app/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000512s ]
[ 2012-11-11T18:53:57+08:00 ] /php/app/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000592s ]
[ 2012-11-11T18:53:57+08:00 ] /php/app/ | INFO: Tag[ view_parse ] --START--
[ 2012-11-11T18:53:57+08:00 ] /php/app/ | NOTIC: [8] Undefined variable: page f12c0a77906a0f355c95666536d66c0f.php 第 108 行.
[ 2012-11-11T18:53:57+08:00 ] /php/app/ | INFO: Run ParseTemplate Behavior [ RunTime:0.015454s ]
[ 2012-11-11T18:53:57+08:00 ] /php/app/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.015553s ]
[ 2012-11-11T18:53:57+08:00 ] /php/app/ | INFO: Tag[ view_filter ] --START--
[ 2012-11-11T18:53:57+08:00 ] /php/app/ | INFO: Run ContentReplace Behavior [ RunTime:0.000464s ]
[ 2012-11-11T18:53:57+08:00 ] /php/app/ | INFO: Run TokenBuild Behavior [ RunTime:0.000475s ]
[ 2012-11-11T18:53:57+08:00 ] /php/app/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000253s ]
[ 2012-11-11T18:53:57+08:00 ] /php/app/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000490s ]
[ 2012-11-11T18:53:57+08:00 ] /php/app/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001886s ]
[ 2012-11-11T18:53:57+08:00 ] /php/app/ | INFO: Tag[ view_end ] --START--
[ 2012-11-11T18:53:57+08:00 ] /php/app/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000788s ]
